"Actor_id","Movie_id"
"nm0000621","tt0116253"
"nm0000621","tt0098439"
"nm1422176","tt0780622"
"nm1422176","tt3720788"
"nm1422176","tt6753132"
"nm1017334","tt0783233"
"nm1017334","tt0485947"
"nm1017334","tt1587310"
"nm1017334","tt1528071"
"nm2794962","tt1403865"
"nm2794962","tt1878870"
"nm2794962","tt4701182"
"nm2794962","tt4765284"
"nm0120116","tt0121766"
"nm0120116","tt0080684"
"nm0120116","tt0086190"
"nm0120116","tt0086034"
"nm1720028","tt1477834"
"nm1720028","tt0376136"
"nm1720028","tt2172934"
"nm1720028","tt1502404"
"nm0397171","tt0369610"
"nm0397171","tt1454029"
"nm0397171","tt1800302"
"nm0472710","tt0111070"
"nm0829576","tt1735898"
"nm0829576","tt1325004"
"nm0829576","tt1324999"
"nm0829576","tt1673434"
"nm6073955","tt3294200"
"nm6073955","tt4291600"
"nm6073955","tt1590193"
"nm4006608","tt3312830"
"nm4006608","tt2088893"
"nm4006608","tt9214832"
"nm3053338","tt1386697"
"nm3053338","tt0993846"
"nm3053338","tt5580036"
"nm3053338","tt7713068"
"nm0358922","tt0448124"
"nm0358922","tt0482527"
"nm0893584","tt0047673"
"nm0893584","tt0041716"
"nm0893584","tt0045592"
"nm0893584","tt0041604"
"nm0000138","tt1375666"
"nm0000138","tt0407887"
"nm0000138","tt0993846"
"nm0000138","tt0120338"
"nm0000096","tt0455590"
"nm0424060","tt0335266"
"nm0424060","tt1798709"
"nm0424060","tt0848228"
"nm0424060","tt0162346"
"nm0544718","tt1502712"
"nm0544718","tt1481572"
"nm0544718","tt0822854"
"nm0544718","tt0758794"
"nm0147147","tt0770828"
"nm0147147","tt2975590"
"nm0147147","tt0974015"
"nm0147147","tt4912910"
"nm4972453","tt1677720"
"nm4972453","tt2582496"
"nm4972453","tt5649108"
"nm4972453","tt1204977"
