"id","rate","titletype","title","canRate","releaseDate","runningTimeInMinutes"
"tt2106476","8.3","movie","The Hunt","true","2013-01-10","115"
"tt2024469","6.9","movie","Non-Stop","true","2014-02-28","106"
"tt0116253","6.4","movie","Executive Decision","true","1996-03-15","133"
"tt1590193","6.3","movie","The Commuter","true","2018-01-12","104"
"tt0089755","7.2","movie","Out of Africa","true","1985-12-20","161"
"tt0060196","8.8","movie","The Good, the Bad and the Ugly","true","1967-12-29","161"
"tt0208092","8.3","movie","Snatch","true","2001-01-19","104"
"tt3896198","7.6","movie","Guardians of the Galaxy Vol. 2","true","2017-05-05","136"
"tt0499448","6.5","movie","The Chronicles of Narnia: Prince Caspian","true","2008-05-16","150"
"tt8613070","8.1","movie","Portrait of a Lady on Fire","true","2020-02-14","122"
"tt0098439","6.4","movie","Tango & Cash","true","1989-12-22","104"
"tt0209144","8.4","movie","Memento","true","2001-05-25","113"
"tt0110729","7.9","movie","Once Were Warriors","true","1995-03-03","102"
"tt0993846","8.2","movie","The Wolf of Wall Street","true","2013-12-25","180"
"tt0448124","7.5","movie","Snow Cake","true","2006-05-04","112"
"tt0066763","8.4","movie","Anand","true","1971-03-12","122"
"tt1856101","8.0","movie","Blade Runner 2049","true","2017-10-06","164"
"tt0078748","8.4","movie","Alien","true","1979-06-22","117"
"tt0077416","8.1","movie","The Deer Hunter","true","1979-02-23","183"
"tt0046912","8.2","movie","Dial M for Murder","true","1954-05-29","105"
"tt0097223","8.2","movie","Time of the Gypsies","true","1990-02-09","142"
"tt0467406","7.4","movie","Juno","true","2007-12-25","96"
"tt0055630","8.2","movie","Yojimbo","true","1961-09-13","110"
"tt4765284","5.8","movie","Pitch Perfect 3","true","2017-12-22","93"
"tt3315342","8.1","movie","Logan","true","2017-03-03","137"
"tt0082096","8.3","movie","Das Boot","true","1982-02-10","149"
"tt0087544","8.1","movie","Nausicaä of the Valley of the Wind","true","1987-11-25","117"
"tt3748172","6.6","movie","Gerald's Game","true","2017-09-29","103"
"tt1814621","5.7","movie","Admission","true","2013-03-22","108"
"tt8367814","7.8","movie","The Gentlemen","true","2020-01-24","113"
"tt0107207","8.1","movie","In the Name of the Father","true","1994-02-25","133"
"tt0478304","6.8","movie","The Tree of Life","true","2011-05-27","139"
"tt1022603","7.7","movie","500 Days of Summer","true","2009-08-07","95"
"tt0044741","8.3","movie","Ikiru","true","1956-03-25","143"
"tt2758880","8.1","movie","Winter Sleep","true","2014-10-11","196"
"tt8579674","8.3","movie","1917","true","2020-01-10","119"
"tt0419706","5.2","movie","Doom","true","2005-10-21","105"
"tt1832382","8.3","movie","A Separation","true","2011-09-04","123"
"tt0118694","8.1","movie","In the Mood for Love","true","2001-03-09","98"
"tt0052357","8.3","movie","Vertigo","true","1958-05-09","128"
"tt0088763","8.5","movie","Back to the Future","true","1985-07-03","116"
"tt0864761","6.9","movie","The Duchess","true","2008-10-10","110"
"tt0234215","7.2","movie","The Matrix Reloaded","true","2003-05-15","138"
"tt0475394","6.7","movie","Smokin' Aces","true","2007-01-26","109"
"tt0120762","7.6","movie","Mulan","true","1998-06-19","88"
"tt0031679","8.1","movie","Mr. Smith Goes to Washington","true","1939-10-19","129"
"tt0198781","8.1","movie","Monsters, Inc.","true","2001-11-02","92"
